href,disease_type,keyword
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Ангиома головного мозга
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Аневризма сосудов головного мозга
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,"Артерио-венозные
                        мальформации (АВМ)"
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,"Артроз межпозвонковых суставов
                        (фасеточный синдром)"
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Астроцитома головного мозга
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,"Болевой синдром после
                        операций на позвоночнике"
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,"Болезнь
                        Бехтерева"
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Болезнь Паркинсона
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Болезнь мойя-мойя
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Гемангиома головного мозга
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Герминома головного мозга
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Гидроцефалия
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Глиобластома (рак мозга)
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Грыжа межпозвоночного диска
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,"Дефект
                        костей черепа"
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,"Злокачественная опухоль
                        спинного мозга (напр. эпиндимома)"
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,"Интрамедуллярная
                        гематома спинного мозга"
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Кавернома головного мозга
